PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"19812314","Synchronous with your feelings: sensorimotor {gamma} band and empathy for pain","Betti V, Zappasodi F, Rossini PM, Aglioti SM, Tecchio F.","J Neurosci. 2009 Oct 7;29(40):12384-92. doi: 10.1523/JNEUROSCI.2759-09.2009.","Betti V","J Neurosci","2009","2009/10/09","PMC6665091","","10.1523/JNEUROSCI.2759-09.2009"
"19780040","Primary and multisensory cortical activity is correlated with audiovisual percepts","Benoit MM, Raij T, Lin FH, Jääskeläinen IP, Stufflebeam S.","Hum Brain Mapp. 2010 Apr;31(4):526-38. doi: 10.1002/hbm.20884.","Benoit MM","Hum Brain Mapp","2010","2009/09/26","PMC3292858","NIHMS335453","10.1002/hbm.20884"
"19584910","The track of brain activity during the observation of TV commercials with the high-resolution EEG technology","Astolfi L, Vecchiato G, De Vico Fallani F, Salinari S, Cincotti F, Aloise F, Mattia D, Marciani MG, Bianchi L, Soranzo R, Babiloni F.","Comput Intell Neurosci. 2009;2009:652078. doi: 10.1155/2009/652078. Epub 2009 Jun 22.","Astolfi L","Comput Intell Neurosci","2009","2009/07/09","PMC2699882","","10.1155/2009/652078"
"19403118","Acute psychological stress reduces working memory-related activity in the dorsolateral prefrontal cortex","Qin S, Hermans EJ, van Marle HJ, Luo J, Fernández G.","Biol Psychiatry. 2009 Jul 1;66(1):25-32. doi: 10.1016/j.biopsych.2009.03.006. Epub 2009 Apr 28.","Qin S","Biol Psychiatry","2009","2009/05/01","","","10.1016/j.biopsych.2009.03.006"
"19326198","Arousal increases the representational capacity of cortical tissue","Fekete T, Pitowsky I, Grinvald A, Omer DB.","J Comput Neurosci. 2009 Oct;27(2):211-27. doi: 10.1007/s10827-009-0138-6. Epub 2009 Mar 27.","Fekete T","J Comput Neurosci","2009","2009/03/28","","","10.1007/s10827-009-0138-6"
"18065722","Paying attention to social meaning: an FMRI study","Tavares P, Lawrence AD, Barnard PJ.","Cereb Cortex. 2008 Aug;18(8):1876-85. doi: 10.1093/cercor/bhm212. Epub 2007 Dec 7.","Tavares P","Cereb Cortex","2008","2007/12/11","","","10.1093/cercor/bhm212"
"17287505","Age-related differences in neuromagnetic brain activity underlying concurrent sound perception","Alain C, McDonald KL.","J Neurosci. 2007 Feb 7;27(6):1308-14. doi: 10.1523/JNEUROSCI.5433-06.2007.","Alain C","J Neurosci","2007","2007/02/09","PMC6673581","","10.1523/JNEUROSCI.5433-06.2007"
"17034034","Imaging brain activity during natural vision using CASL perfusion fMRI","Rao H, Wang J, Tang K, Pan W, Detre JA.","Hum Brain Mapp. 2007 Jul;28(7):593-601. doi: 10.1002/hbm.20288.","Rao H","Hum Brain Mapp","2007","2006/10/13","PMC6871395","","10.1002/hbm.20288"
"16423461","Right hemisphere dominance in perceiving coherence of visual events","Han S, Jiang Y, Mao L.","Neurosci Lett. 2006 May 1;398(1-2):18-21. doi: 10.1016/j.neulet.2005.12.069. Epub 2006 Jan 19.","Han S","Neurosci Lett","2006","2006/01/21","","","10.1016/j.neulet.2005.12.069"
"16081741","Coupling between neuronal firing, field potentials, and FMRI in human auditory cortex","Mukamel R, Gelbard H, Arieli A, Hasson U, Fried I, Malach R.","Science. 2005 Aug 5;309(5736):951-4. doi: 10.1126/science.1110913.","Mukamel R","Science","2005","2005/08/06","","","10.1126/science.1110913"
"16019582","Impact of regular meditation practice on EEG activity at rest and during evoked negative emotions","Aftanas L, Golosheykin S.","Int J Neurosci. 2005 Jun;115(6):893-909. doi: 10.1080/00207450590897969.","Aftanas L","Int J Neurosci","2005","2005/07/16","","","10.1080/00207450590897969"
"15652326","Distinct neural substrates for the perception of real and virtual visual worlds","Han S, Jiang Y, Humphreys GW, Zhou T, Cai P.","Neuroimage. 2005 Feb 1;24(3):928-35. doi: 10.1016/j.neuroimage.2004.09.046. Epub 2004 Nov 18.","Han S","Neuroimage","2005","2005/01/18","","","10.1016/j.neuroimage.2004.09.046"
"15110035","The chronoarchitecture of the human brain--natural viewing conditions reveal a time-based anatomy of the brain","Bartels A, Zeki S.","Neuroimage. 2004 May;22(1):419-33. doi: 10.1016/j.neuroimage.2004.01.007.","Bartels A","Neuroimage","2004","2004/04/28","","","10.1016/j.neuroimage.2004.01.007"
"14755595","Functional brain mapping during free viewing of natural scenes","Bartels A, Zeki S.","Hum Brain Mapp. 2004 Feb;21(2):75-85. doi: 10.1002/hbm.10153.","Bartels A","Hum Brain Mapp","2004","2004/02/03","PMC6872023","","10.1002/hbm.10153"
"11446582","Manipulation of frontal EEG asymmetry through biofeedback alters self-reported emotional responses and facial EMG","Allen JJ, Harmon-Jones E, Cavender JH.","Psychophysiology. 2001 Jul;38(4):685-93.","Allen JJ","Psychophysiology","2001","2001/07/12","","",""
"11352609","Spatiotemporal brain imaging of visual-evoked activity using interleaved EEG and fMRI recordings","Bonmassar G, Schwartz DP, Liu AK, Kwong KK, Dale AM, Belliveau JW.","Neuroimage. 2001 Jun;13(6 Pt 1):1035-43. doi: 10.1006/nimg.2001.0754.","Bonmassar G","Neuroimage","2001","2001/05/16","","","10.1006/nimg.2001.0754"
"9831460","The functional neuroanatomy of major depression: an fMRI study using an emotional activation paradigm","Beauregard M, Leroux JM, Bergman S, Arzoumanian Y, Beaudoin G, Bourgouin P, Stip E.","Neuroreport. 1998 Oct 5;9(14):3253-8. doi: 10.1097/00001756-199810050-00022.","Beauregard M","Neuroreport","1998","1998/11/27","","","10.1097/00001756-199810050-00022"
